1986,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
coll040,"IMG_4817.JPG
Name might be updated",,,Newspaper clippings,"
Heritage Singers Canada; Lyons, Grace",,Newspaper clippings ,Newspaper,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(04)-5,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll041,"IMG_4818.JPG
Name might be updated",,,Letter from Jamaican Consulate General,"
Heritage Singers Canada; Lyons, Grace",1983-09-08,A thank you letter from the Jamaican Consulate General,Letter; international relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(04)-6,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll042,"IMG_4822.JPG
Name might be updated",,,Page1 Act1 Scene1 of first production script ,"
Heritage Singers Canada; Lyons, Grace",,Page1 Act1 Scene1 of first production script ,Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(05),Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll043,"IMG_4748.JPg
Name might be updated ",,,Grace's notebook pt 1,"
Heritage Singers Canada; Lyons, Grace",1986,Front cover of a spiral notebook containing production idea's maintained by Grace,Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(06)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll044,"IMG_4821.JPG
Name might be updated",,,Grace's notebook pt 2,"
Heritage Singers Canada; Lyons, Grace",1986,First page of a notebook owned by Grace containing production ideas,Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(06)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll045,"IMG_4757.JPG
Name might be updated",,,Grace's notebook pt 3,"
Heritage Singers Canada; Lyons, Grace",1986,Page from Grace's notebook featuring notes for a scene for a production,Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(06)-3,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll046,"IMG_4781.JPG
ame might be updated",,,Program for 'ZuZuwah',"
Heritage Singers Canada; Lyons, Grace",1987-10,A program booklet for the Heritage Singer's 1987 production of 'ZuZuwah',perfomance; media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll047,"IMG_4782.JPG
Name might be updated",,,10th anniversary program book,"
Heritage Singers Canada; Lyons, Grace",1988-13-11,A program booklet for the Heritage Singer's 10th anniversary celebration,perfomance; media; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll048,Do not have this photographed/ cannot find file,,,20th anniversary program book,"
Heritage Singers Canada; Lyons, Grace",1997-08-06,Program for 'A Tribute to Parents' to celebrate the Heritage Singers 20th anniversary ,perfomance; media; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-3,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll049,"IMG_4784.JPG
Name might be updated ",,,20th anniversary luncheon program,"
Heritage Singers Canada; Lyons, Grace",1997-26-10,Program for the Heritage Singer's 20th anniversary luncheon,perfomance; media; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-4,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll050,"IMG_4786.JPG
Name might be updated ",,,Program for 'ZuZuwah 3',"
Heritage Singers Canada; Lyons, Grace",1198-12-12,A program booklet for the Heritage Singer's 1998 production of 'ZuZuwah 3',perfomance; media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-5,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll051,"IMG_4779.JPG
Name might be updated",,,Program for 'OLDE TYME COUNTRY WEDDING',"
Heritage Singers Canada; Lyons, Grace",,A program booklet for the Heritage Singer's production 'OLDE TYME COUNTRY WEDDING',perfomance; media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-6,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll052,"IMG_4775.JPG
Name might be updated ",,,Leaflet for 'Augus Mawnin',"
Heritage Singers Canada; Lyons, Grace",2002-23-02,A leaflet for the Heritage Singer's 2002 performance of Augus Mawnin,perfomance; media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-7,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll053,"IMG_4776.JPG
Name might be updated",,,30th anniversary program book,"
Heritage Singers Canada; Lyons, Grace",2007,A program booklet for the Heritage Singer's 30th anniversary celebration,perfomance; media; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-8,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll054,"IMG_4778.JPG
Name might be updated ",,,Program for 'Hallelujah Pepperpot',"
Heritage Singers Canada; Lyons, Grace",2012-06-05,Program for the Heritage Singer's 50th anniversary performance of 'Hallelujah Pepperpot',perfomance; media; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-9,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll055,"IMG_4788.JPG
Name might be updated ",,,Brochure for the Heritage Singer's 40th anniversary,"
Heritage Singers Canada; Lyons, Grace",2017-21-10,Brochure for the Heritage Singer's 40th anniversary,perfomance; media; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(08)-10,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll056,"ASC62376_01.tif
Name might be updated ",,,Script and notes about the Collingwood performance pt 1,"
Heritage Singers Canada; Lyons, Grace",2016-05-11,Script and notes written by Grace about the Heritage Singer's Collingwood performance,performance; Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(10)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll057,"ASC62376_02.tif
Name might be updated ",,,Script and notes about the Collingwood performance pt 2,"
Heritage Singers Canada; Lyons, Grace",2016-05-11,A continuation of the script and notes written by Grace about the Heritage Singer's Collingwood performance,performance; Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(10)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll058,"ASC62376_02_verso.tif
Name might be updated ",,,Script and notes about the Collingwood performance pt 3,"
Heritage Singers Canada; Lyons, Grace",2016-05-11,Hand written notes scribbled on the back of the script and notes written by Grace about the Heritage Singer's Collingwood performance,performance; Behind the scenes,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(10)-3,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll059,"ASC62377.tif
Name might be updated",,,Sheet music for 'Der Krähwinkler Landsturm' (The Block-Head Brigade) and 'Ach du lieber Augustin' (Everything's Gone),"
Heritage Singers Canada; Lyons, Grace",2000-07,Sheet music for German folk songs sung by the Heritage Singer's at a folk festival hosted in Germany ,International tours; performance,Germany,51.165691,10.451526,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(10)-4,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll060,"ASC62378.tif
Name might be updated",,,North York Public Library aquisition record,"
Heritage Singers Canada; Lyons, Grace",1996-16-05,An invoice for cassette tapes featuring songs by the Heritage Singer's as well as a recording of a live performace of 'Hallelujah Pepperpot' sold to North York Public Library in 1996,Records,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(12)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll061,"IMG_4758.JPG
Name might be updated",,,"""Colourful Jamaicans Represent Canada"" Newspaper clipping","
Heritage Singers Canada; Lyons, Grace", ,"A newspaper clipping written in Dutch covering the Heritage Singer's participation in a folk festival in Odoorn, Netherlands. ",Newspaper; International tours ,"Odoorn, Netherlands",52.84917,6.85139,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(13)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll062,"IMG_4763.JPG
Name might be updated ",,,Taiwanese newspaper article about the Heritage Singers,"
Heritage Singers Canada; Lyons, Grace",1998,A newspaper article written in Mandarin and English celebrating the Heritage Singer's and their participation in the 1998 Taiwan folk festival,Newspaper; International tours ,Taiwan,23.69781,120.960515,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(13)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll063,File name to be updated ,,,A transparent certificate from the mayoral office of the Bolivarian Republic of Venezuela,"
Heritage Singers Canada; Lyons, Grace",2004-11,A transparent certificate from the mayoral office of the Bolivarian Republic of Venezuela awarded to the Heritage Singers,international relations,Venezuela,6.42375,-66.58973,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(15)-1,Image;StillImage,image/jpeg,Spanish,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll064,File name to be updated ,,,Letter from the municipal office of the Bolivarian Republic of Venezuela,"
Heritage Singers Canada; Lyons, Grace",2004-11,A letter for an information package from the Bolivarian Republic of Venezuela's municipal office regarding the folk performance festival,Letter; international relations; international tours,Venezuela,6.42375,-66.58973,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(15)-2,Image;StillImage,image/jpeg,Spanish,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll065,File name to be updated ,,,Email exchnge between Grace and the Toronto Fringe Festival ,"
Heritage Singers Canada; Lyons, Grace",2010-14-05,Email exchnge between Grace and the Toronto Fringe Festival ,Communication,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(16)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll066,"IMG_4764.JPG
Name might be updated",,,Invoice for Thunder Dome Sounds,"
Heritage Singers Canada; Lyons, Grace",1998-06-03,An invoice for studio time and audio production at Thunder Dome Sounds charged to the Heritage Singers,Records ,"Pickering, Canada",43.90012,-79.13289,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(17)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll067,"IMG_4765.JPG
Name might be updated",,,RDR Music Group quote for cassette production,"
Heritage Singers Canada; Lyons, Grace",1997-29-09,A quote from RDR Music Group for cassette production,Records ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(17)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll068,"IMG_4766.JPG
Name might be updated",,,Studio session list ,"
Heritage Singers Canada; Lyons, Grace",1998-19-02,Record of songs recorded by Heritage Singer's during their studio session,Records ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(17)-3,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll069,"IMG_4768.JPG
Name might be updated",,,Song mixing sheet 1,"
Heritage Singers Canada; Lyons, Grace",1998-19-02,Song mixing sheet for 'Rivers of Babylon' and 'Hear Me Queen',Records ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(17)-4,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll070,"IMG_4769.JPG
Name might be updated",,,Song mixing sheet 2,"
Heritage Singers Canada; Lyons, Grace",1998-19-02,Song mixing sheet for 'Slave Lament',Records ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(17)-5,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll071,"IMG_4773.JPG
Name might be updated",,,Agreement with Nicey's Food Mart pt 1,"
Heritage Singers Canada; Lyons, Grace",,An agreement outlining the stipulations of partnership between the Heritage Singer's and Nicey's Food Mart ,Records ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(19)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll072,"IMG_4774.JPG
Name might be updated",,,Agreement with Nicey's Food Mart pt 2,"
Heritage Singers Canada; Lyons, Grace",,Continuation of the agreement between the Heritage Singer's and Nicey's Food Mart ,Records ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(19)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll073,File name to be updated ,,,Cover of Share featuring Grace and members of the Heritage Singers in the background,"
Heritage Singers Canada; Lyons, Grace",1985-29-08,Cover of Share featuring Grace and members of the Heritage Singers in the background,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(21)-1,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll074,File name to be updated ,,,Clipping of Share feautring (possibly Leo Ingram) during the Heritage Singers performance of Zuzuwah ,"
Heritage Singers Canada; Lyons, Grace",1986-04-12,Clipping of Share feautring (possibly Leo Ingram) during the Heritage Singers performance of Zuzuwah ,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(21)-2,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll075,File name to be updated ,,,Copy of Pride article on the Heritage Singers performance in Harlem ,"
Heritage Singers Canada; Lyons, Grace",1996-27-06,Copy of Pride article on the Heritage Singers performance in Harlem ,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(21)-3,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll076,File name to be updated ,,,Clipping of an article from Pride on the Heritage Singers preparation for Taiwan's folk festival ,"
Heritage Singers Canada; Lyons, Grace",1998-26-03,Clipping of an article from Pride on the Heritage Singers preparation for Taiwan's folk festival ,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(21)-4,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll077,"IMG_4689.JPG
Name might be updated",,,Copy of Pride artitcle praising the Heritage Singers for their community spirit,"
Heritage Singers Canada; Lyons, Grace",2001-07-10,Copy of Pride artitcle praising the Heritage Singers for their community spirit,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(21)-5,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll078,"IMG_4837.JPg
Name might be updated",,,Cover of Share featuring members of the Heritage Singers during their performace of Augus Mawnin,"
Heritage Singers Canada; Lyons, Grace",2002-28-02,Cover of Share featuring members of the Heritage Singers during their performace of Augus Mawnin,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(21)-6,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll079,File name to be updated ,,,Leaflet for 'Miss Annie',"
Heritage Singers Canada; Lyons, Grace",2003-21-06,A leaflet for the Heritage Singer's 2003 production of 'Miss Annie' featuring Miss. Lou and LTM Pantomime Company,perfomance; media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(22)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll080,"IMG_4714.JPG
Name might be updated",,,An email from the University of the West Indies,"
Heritage Singers Canada; Lyons, Grace",2001-28-02,Copy of an email from The University of the West Indies to contributors about their publication ,Communication,"Kingston, Jamaica",17.99702,-76.79358,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(22)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,can we link this to the libary catalogue number?
coll081,"IMG_4841.JPG
Name might be updated",,,Celebrating 100 Jamaicans' - The weekly Gleaner,"
Heritage Singers Canada; Lyons, Grace",2005-16-06,Grace Lyon and Philemon Campbell are recognized in the Weekly Gleaner's 'Celebrating 100 Jamaicans' article,Newspaper,"Toronto, Canada",18.109581,-77.297508,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(06)-1,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll082,"IMG_4688.JPG
Name might be updated",,,Heritage Singers Take Holland' - PRIDE,"
Heritage Singers Canada; Lyons, Grace",1996-19-09,An article in PRIDE covering the Heritage Singer's participation in a folk festival hosted in Holland,Newspaper; international tours ,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(08)-1,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll083,"IMG_4697.JPG
Name mght be updated",,,"Pride article on the Heritage Singer's perfomance ""Olde Tyme Country Wedding"" a","
Heritage Singers Canada; Lyons, Grace",2009-21-10,"An article in PRIDE covering the Heritage Singer's perfomance ""Olde Tyme Country Wedding"" ",Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(08)-2,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll084,File name to be updated ,,,Ad for 'Hallelujah Pepperpot',"
Heritage Singers Canada; Lyons, Grace",2012-25-04,An ad placed in PRIDE for an upcoming performance of 'Hallelujah Pepperpot',Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(08)-3,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll085,"IMG_4825.JPG
Name might be updated",,,"Heritage Singer's on the cover of PRIDE - May 2, 2012","
Heritage Singers Canada; Lyons, Grace",2012-02-05,Heritage Singer's on the cover of PRIDE promoting their production of 'Hallelujah pepperpot' in celebration of Jamaica's 50th anneversary,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(08)-4,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll086,"ASC62382.tif
Name might be updated",,,Maud Fuller at Miss Lou's funeral ,"
Heritage Singers Canada; Lyons, Grace",2006,"Maud Fuller, former Artistic Director, paying tribute to Miss Lou at her funeral service.",portrait,"Toronto, Canada",18.109581,-77.297508,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(04)-1,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll087,"ASC62383.tif
Name might be updated",,,Heritage Singers dancing at dinner theatre performance ,"
Heritage Singers Canada; Lyons, Grace",,Heritage Singers dancing at Peter and Paul Banquet Hall dinner theatre performance ,group photo; fun times,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(05)-1,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll088,"ASC62387.tif
Name might be updated ",,,Behind the scenes shot of a member of the Heritage Singers,"
Heritage Singers Canada; Lyons, Grace",,Behind the scenes shot of a member of the Heritage Singers at the Peter and Paul Banquet Hall dinner theatre performance,portrait,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(05)-2,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll089,"ASC62389.tif
Name might be updated",,,Grace at the 1998 folk festival in Taiwan,"
Heritage Singers Canada; Lyons, Grace",1998-24-10,Grace in a tent with children in the background after teaching the children a song at the folk festival in Taiwan ,portrait,Taiwan,23.69781,120.960515,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(06)-1,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
