1986,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
coll011,img20221124_23391468.jpg,,,Portrait of a woman (Amah Harris) smiling ,"
Heritage Singers Canada; Lyons, Grace",,"Amah Harris, Director of stage productions of the Heritage Singers",portrait,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(08)-17,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll012,img20221124_23093109.jpg,,,A note left on the back of a photograph,"
Heritage Singers Canada; Lyons, Grace",199-?,A note left on the back of a photograph by a Basque Country performer,Letter,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(01)-5,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll013,img20221124_23073204.jpg,,,On stage performance,"
Heritage Singers Canada; Lyons, Grace",199-?,Basque folk dancers performing on stage ,International tours; performance,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(01)-3,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll014,img20221124_23060946.jpg,,,Photograph with Friends,"
Heritage Singers Canada; Lyons, Grace",199-?,A member of the Heritage Singers and two Basque folk dancers take a group photo together,International tours; fun times,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(01)-4,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll015,img20221124_23030341.jpg,,,Photograph with Friends,"
Heritage Singers Canada; Lyons, Grace",199-?,A member of the Heritage Singers and two Basque folk dancers take a group photo together,International tours; fun times,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(01)-2,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll016,img20221124_22545690.jpg,,,Pamphlet for performance,"
Heritage Singers Canada; Lyons, Grace",199-?,Pamphlet for Basque folk dance performance  ,International tours; performance,,,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(01)-1,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll017,img20221124_22493533.jpg,,,Music Hall of Fame Award,"
Heritage Singers Canada; Lyons, Grace",1994,A certificate for the Music Hall of Fame awarded to the Heritage Singers by The Black Label Artist Coalition,Awards,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll018,img20221124_22440426.jpg,,,Newspaper article,"
Heritage Singers Canada; Lyons, Grace",2001-01,Article in the Weekly Gleaner's Entertainment page featuring the Heritage Singers ,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(06)-1,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll019,File name to be updated ,To be updated,,"Heritage Singer's performance, Canada","
Heritage Singers Canada; Lyons, Grace; Ebanks, Debbie",1998-22-02,"A 1998 recording of the Heritage Singer's performance at St. Paul's Church. The recording is titled 'Celebrating The Black Heritage of Our Church: The Strength, Faith & Commitment Of The BLACK WOMAN'.",Video,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/008(05)-1,"Heritage Singers' performance, Canada",video/mp4,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll020,File name to be updated ,https://youtu.be/fXflPbYTmJQ,,"Miss. Lou, Robert Owen, Heritage Singers in concert","
Heritage Singers Canada; Lyons, Grace; Ebanks, Debbie",,"Heritage Singers along with notable figures Robert Owen, tenor Canadian Opera Company (circa 1990s) and Miss Lou (Important figure within the Jamaican cultural scene), perform at a dinner theatre event.",Video,"Toronto, Canada",,,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections","2023-033/009(02) 
- will need to verify ",Image;MovingImage,video/mp4,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
